DATE,semana,Importe gastado,Alcance,Clicks (FB),CPM,CTR unico,Añadidos al carrito,Pago inicado,Compras,Valor de conversion,ROAS - daily,AOV (daily),CPA - daily,CVR (daily),%Ticket,CPC (FB),Total Ad Spend (FB),Total carts,Cost per ATC,Total checkouts,Cost per checkout,Total sales,CPA - (from start),Valor total conv,Roas - (from start),AOV (lifetime),Click-to-cart ratio,Cart-to-purchase 
27/12/2024,,$43.023,22.446,424,$968,"1,89%",49,30,4,$377.624,"8,78",$94.406,$10.756,"0,94%","11,39%","$101,47","$8.835.854,88",12.349,"$878,02",6070,"$1.434,10",878,"$10.063,62","$78.124.554,40","8,84","$88.980,13","11,56%","8,16%"
28/12/2024,,$40.611,22.069,389,$980,"1,76%",51,23,2,$385.462,"9,49",$192.731,$20.306,"0,51%","10,54%","$104,40","$8.876.465,88",12.400,"$796,29",6093,"$1.765,70",880,"$10.086,89","$78.510.016,40","8,84","$89.215,93","13,11%","3,92%"
29/12/2024,Week 18,$48.589,27.306,417,$1.033,"1,53%",34,24,8,$742.940,"15,29",$92.868,$6.074,"1,92%","6,54%","$116,52","$8.925.054,88",12.434,"$1.429,09",6117,"$2.024,54",888,"$10.050,74","$79.252.956,40","8,88","$89.248,82","8,15%","23,53%"
30/12/2024,,$69.446,32.517,688,$1.165,"2,12%",48,29,2,$309.513,"4,46",$154.757,$34.723,"0,29%","22,44%","$100,94","$8.994.500,88",12.482,"$1.446,79",6146,"$2.394,69",890,"$10.106,18","$79.562.469,40","8,85","$89.396,03","6,98%","4,17%"
31/12/2024,,$60.347,33.169,620,$1.076,"1,87%",26,12,2,$176.848,"2,93",$88.424,$30.174,"0,32%","34,12%","$97,33","$9.054.847,88",12.508,"$2.321,04",6158,"$5.028,92",892,"$10.151,17","$79.739.317,40","8,81","$89.393,85","4,19%","7,69%"
1/1/2025,,$46.854,31.757,660,$899,"2,08%",26,11,4,$278.818,"5,95",$69.705,$11.714,"0,61%","16,80%","$70,99","$9.101.701,88",12.534,"$1.802,08",6169,"$4.259,45",896,"$10.158,15","$80.018.135,40","8,79","$89.305,95","3,94%","15,38%"
2/1/2025,,$50.622,31.481,665,$986,"2,11%",59,31,5,$491.586,"9,71",$98.317,$10.124,"0,75%","10,30%","$76,12","$9.152.323,62",12.593,"$858,00",6200,"$1.632,96",901,"$10.157,96","$80.509.721,40","8,80","$89.355,96","8,87%","8,47%"
3/1/2025,,$53.145,31.806,584,$944,"1,84%",58,26,8,$603.142,"11,35",$75.393,$6.643,"1,37%","8,81%","$91,00","$9.205.468,72",12.651,"$916,29",6226,"$2.044,04",909,"$10.127,03","$81.112.863,60","8,81","$89.233,07","9,93%","13,79%"
4/1/2025,,$60.918,32.123,623,$1.136,"1,94%",30,19,2,$134.820,"2,21",$67.410,$30.459,"0,32%","45,18%","$97,78","$9.266.386,85",12.681,"$2.030,60",6245,"$3.206,22",911,"$10.171,67","$81.247.683,60","8,77","$89.185,16","4,82%","6,67%"
5/1/2025,Week 19,$47.910,21.539,550,$1.542,"2,55%",22,14,1,$61.670,"1,29",$61.670,$47.910,"0,18%","77,69%","$87,11","$9.314.297,34",12.703,"$2.177,75",6259,"$3.422,18",912,"$10.213,05","$81.309.353,60","8,73","$89.154,99","4,00%","4,55%"
6/1/2025,,$83.002,46.333,1042,$1.193,"2,25%",49,20,3,$326.894,"3,94",$108.965,$27.667,"0,29%","25,39%","$79,66","$9.397.299,43",12.752,"$1.693,92",6279,"$4.150,10",915,"$10.270,27","$81.636.247,60","8,69","$89.219,94","4,70%","6,12%"
7/1/2025,,$89.296,44.055,946,$1.279,"2,15%",42,14,4,$404.007,"4,52",$101.002,$22.324,"0,42%","22,10%","$94,39","$9.486.595,68",12.794,"$2.126,10",6293,"$6.378,30",919,"$10.322,74","$82.040.254,60","8,65","$89.271,22","4,44%","9,52%"
8/1/2025,,$87.958,37.757,950,$1.352,"2,52%",72,40,6,$503.435,"5,72",$83.906,$14.660,"0,63%","17,47%","$92,59","$9.574.553,62",12.866,"$1.221,64",6333,"$2.198,95",925,"$10.350,87","$82.543.689,60","8,62","$89.236,42","7,58%","8,33%"
9/1/2025,,$82.137,41.325,954,$1.121,"2,31%",61,27,5,$357.871,"4,36",$71.574,$16.427,"0,52%","22,95%","$86,10","$9.656.690,48",12.927,"$1.346,51",6360,"$3.042,11",930,"$10.383,54","$82.901.560,80","8,58","$89.141,46","6,39%","8,20%"
10/1/2025,,$51.886,33.607,636,$904,"1,89%",40,19,3,$194.348,"3,75",$64.783,$17.295,"0,47%","26,70%","$81,58","$9.708.576,95",12.967,"$1.297,16",6379,"$2.730,87",933,"$10.405,76","$83.095.908,80","8,56","$89.063,14","6,29%","7,50%"
11/1/2025,,$51.466,36.397,609,$915,"1,67%",31,25,2,$138.228,"2,69",$69.114,$25.733,"0,33%","37,23%","$84,51","$9.760.043,43",12.998,"$1.660,21",6404,"$2.058,66",935,"$10.438,55","$83.234.136,80","8,53","$89.020,47","5,09%","6,45%"
12/1/2025,Week 20,$57.919,41.829,703,$874,"1,68%",56,24,7,$763.396,"13,18",$109.057,$8.274,"1,00%","7,59%","$82,39","$9.817.961,98",13.054,"$1.034,26",6428,"$2.413,27",942,"$10.422,46","$83.997.532,60","8,56","$89.169,36","7,97%","12,50%"
13/1/2025,,$56.844,42.075,554,$874,"1,32%",33,30,6,$396.559,"6,98",$66.093,$9.474,"1,08%","14,33%","$102,61","$9.874.805,98",13.087,"$1.722,55",6458,"$1.894,80",948,"$10.416,46","$84.394.091,60","8,55","$89.023,30","5,96%","18,18%"
14/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/1/2025,Week 21,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/1/2025,Week 22,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/1/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/2025,Week ,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/2025,Week ,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/2/2025,Week ,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Week ,,,,,,,,,,,,,,,,,,,,,,,,,,,
