url,sku,SKU,nombre,id,categorias,precio_actual,precio_promocional,stock_actual,FEBRERO,MARZO,ABRIL,MAYO,Spend mayo,Spend Junio,JUNIO,JULIO,AGOSTO,ventas ecom,SPEND,ENE LOCALES,FEB LOCAL,MAR LOCAL,AB LOCALES,SUMADEVENTAS,IMAGEN,VALORIZADO,imagen_principal,otras_imagenes
https://gerf.com.ar/productos/Zapatillas-Fiona-Plata-de-Mujer-74-141/,74|141|35,74|141,Zapatillas Fiona Plata de Mujer,254864824,Ofertas|CALZADOH|CalzadodeHombre,$46.720,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/74-141_1-15bd2b48f65409706217393073885119-1024-1024.jpg,
https://gerf.com.ar/productos/Zapatillas-Fiona-Dorado-de-Mujer-74-153/,74|153|35,74|153,Zapatillas Fiona Dorado de Mujer,254864833,Ofertas|CALZADOH|CalzadodeHombre,$46.720,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/74-153_1-16156c676f5e3740a617393073918514-1024-1024.jpg,
https://gerf.com.ar/productos/Zapatillas-Fiona-Rosa-de-Mujer-74-80/,74|80|35,74|80,Zapatillas Fiona Rosa de Mujer,254864847,Ofertas|CALZADOH|CalzadodeHombre,$46.720,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/74-80_1-e8e5b1987e85e60e4517393073951840-1024-1024.jpg,
https://gerf.com.ar/productos/Panchas-Apolo-Negro-85-10/,85|10|39,85|10,Panchas Apolo Negro,254865281,Ofertas,$51.000,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/85-10_1-9ffe2cdaf85137b93317393075682301-1024-1024.jpg,https://acdn-us.mitiendanube.com/stores/005/775/403/products/85-10_1-a288c1b542cb3930e817393075711875-1024-1024.jpg
https://gerf.com.ar/productos/Zapatillas-Cairo-Negro-Unisex-51-10/,51|10|35,51|10,Zapatillas Cairo Negro Unisex,254863943,CALZADOH|CalzadodeHombre|Zapatillas,$44.100,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/51-10_1-4e8a60d98af360a48017393069827437-1024-1024.jpg,
https://gerf.com.ar/productos/Zapatillas-Cairo-Bordo-Unisex-51-111/,51|111|35,51|111,Zapatillas Cairo Bordo Unisex,254863953,CALZADOH|CalzadodeHombre|Zapatillas,$44.100,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/51-111_1-7573cd7706cae92ed517393069857335-1024-1024.jpg,
https://gerf.com.ar/productos/Zapatillas-Cairo-Mostaza-Unisex-51-151/,51|151|35,51|151,Zapatillas Cairo Mostaza Unisex,254863969,CALZADOH|CalzadodeHombre|Zapatillas,$44.100,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/51-151_1-056cd3362991be8db517393069887919-1024-1024.jpg,
https://gerf.com.ar/productos/Zapatillas-Cairo-Azul-Unisex-51-20/,51|20|35,51|20,Zapatillas Cairo Azul Unisex,254863985,CALZADOH|CalzadodeHombre|Zapatillas,$44.100,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/51-20_1-34d8bf3e2447ecb31c17393069922549-1024-1024.jpg,
https://gerf.com.ar/productos/Zapatillas-Africa-Naranja-de-Mujer-52-120/,52|120|35,52|120,Zapatillas Africa Naranja de Mujer,254863998,CALZADOM|CalzadosdeMujer|Zapatillas,$43.800,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/52-120_1-c76d6929ab2e5cdaa817393069957872-1024-1024.jpg,
https://gerf.com.ar/productos/Zapatillas-Africa-Beige-de-Mujer-52-134/,52|134|35,52|134,Zapatillas Africa Beige de Mujer,254864006,CALZADOM|CalzadosdeMujer|Zapatillas,$43.800,$0,0,0,0,0,0,,$0,0,0,0,0,,0,0,0,0,0,,$0,https://acdn-us.mitiendanube.com/stores/005/775/403/products/52-134_1-281f52189f62d8021917393069987480-1024-1024.jpg,
