,,,,,,,,,,,,,,,,,,,,
,,OBJETIVO,CPM,CTR,CVR (VISITAS → CARRITOS),CVR (CARRITOS → PAGOS INI),CVR (PAGOS INI → COMPRAS),AOV (Ticket promedio),CVR (VISITAS → COMPRAS),ROAS,,,,,,,,,,
,,,$1.700,2%,15%,50%,45%,$95.000,"3,00%",4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
MES,Día,Importe gastado,CPM ,Alcance,Impresiones,Frecuencia,Clics únicos en el enlace,CTR ,Visitas a la página de destino, agregados al carrito,CVR (VISITAS → CARRITOS),Pagos iniciados,CVR (CARRITOS → PAGOS INI),Compras,CVR (PAGOS INI → COMPRAS),Costo por compra,ROAS,Valor de conv,AOV,CVR (VISITAS → COMPRAS)
,,,,,,,,,,,,,,,,,,,,
,21/12/2025,$175.182,$2.531,29173,69223,"2,37",538,"1,84",16,93,"581,25%",15,"16,13%",6,"40,00%",$29.197,"4,11",$719.270,$119.878,"37,50%"
,22/12/2025,$172.124,$2.583,23975,66625,"2,78",547,"2,28",12,91,"758,33%",17,"18,68%",11,"64,71%",$15.648,"7,27",$1.252.035,$113.821,"91,67%"
,23/12/2025,$179.332,$2.343,31288,76534,"2,45",547,"1,75",20,101,"505,00%",20,"19,80%",6,"30,00%",$29.889,"3,69",$661.577,$110.263,"30,00%"
,24/12/2025,$147.850,$2.273,28604,65046,"2,27",403,"1,41",9,25,"277,78%",5,"20,00%",5,"100,00%",$29.570,"3,95",$584.021,$116.804,"55,56%"
,25/12/2025,$164.015,$1.992,36583,82350,"2,25",540,"1,48",24,76,"316,67%",16,"21,05%",9,"56,25%",$18.224,"6,30",$1.033.172,$114.797,"37,50%"
,26/12/2025,$165.100,$1.750,49796,94356,"1,89",565,"1,13",20,75,"375,00%",15,"20,00%",5,"33,33%",$33.020,"3,47",$573.487,$114.697,"25,00%"
,27/12/2025,$184.310,$1.774,50315,103869,"2,06",547,"1,09",18,95,"527,78%",20,"21,05%",12,"60,00%",$15.359,"7,08",$1.305.632,$108.803,"66,67%"
,28/12/2025,$197.843,$1.756,58239,112656,"1,93",650,"1,12",24,88,"366,67%",16,"18,18%",4,"25,00%",$49.461,"2,47",$488.547,$122.137,"16,67%"
,29/12/2025,$113.008,$2.075,25653,54458,"2,12",356,"1,39",16,67,"418,75%",12,"17,91%",8,"66,67%",$14.126,"8,96",$1.012.926,$126.616,"50,00%"
,30/12/2025,$106.236,$2.093,22851,50763,"2,22",287,"1,26",7,32,"457,14%",5,"15,63%",3,"60,00%",$35.412,"3,19",$339.373,$113.124,"42,86%"
,31/12/2025,$99.163,$2.027,24601,48923,"1,99",253,"1,03",3,17,"5,66666667",3,"0,17647059",1,"0,33333333",$99.163,"1,41",$139.980,$139.980,"0,33333333"
,,,,,,,,,,,,,,,,,,,,
,TOTAL,$6.572.047,$2.103,,,,,"1,37",,,,,,279,,$30.255,"5,21",$34.806.090,$125.262,"20,31%"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ENERO,1/01/2026,$116.129,$1.567,37951,74118,"1,95",398,"1,05",7,29,"414,29%",6,"20,69%",3,"50,00%",$38.710,"3,01",$349.252,$116.417,"42,86%"
,2/01/2026,$120.659,$1.659,41755,72739,"1,74",371,"0,89",15,61,"406,67%",13,"21,31%",7,"53,85%",$17.237,"6,75",$814.696,$116.385,"46,67%"
,3/01/2026,$101.950,$1.604,32952,63552,"1,93",330,"1,00",13,76,"584,62%",13,"17,11%",6,"46,15%",$16.992,"8,14",$830.168,$138.361,"46,15%"
,4/01/2026,$116.546,$1.717,32930,67893,"2,06",327,"0,99",12,49,"408,33%",14,"28,57%",5,"35,71%",$23.309,"5,58",$650.596,$130.119,"41,67%"
,5/01/2026,$115.003,$1.834,31123,62707,"2,01",326,"1,05",9,65,"722,22%",11,"16,92%",10,"90,91%",$11.500,"11,87",$1.365.268,$136.527,"111,11%"
,6/01/2026,,,,,,,,,,,,,,,,,,,
,7/01/2026,,,,,,,,,,,,,,,,,,,
,8/01/2026,,,,,,,,,,,,,,,,,,,
,9/01/2026,,,,,,,,,,,,,,,,,,,
,10/01/2026,,,,,,,,,,,,,,,,,,,
,11/01/2026,,,,,,,,,,,,,,,,,,,
,12/01/2026,,,,,,,,,,,,,,,,,,,
,13/01/2026,,,,,,,,,,,,,,,,,,,
,14/01/2026,,,,,,,,,,,,,,,,,,,
,15/01/2026,,,,,,,,,,,,,,,,,,,
,16/01/2026,,,,,,,,,,,,,,,,,,,
,17/01/2026,,,,,,,,,,,,,,,,,,,
,18/01/2026,,,,,,,,,,,,,,,,,,,
,19/01/2026,,,,,,,,,,,,,,,,,,,
,20/01/2026,,,,,,,,,,,,,,,,,,,
,21/01/2026,,,,,,,,,,,,,,,,,,,
,22/01/2026,,,,,,,,,,,,,,,,,,,
,23/01/2026,,,,,,,,,,,,,,,,,,,
,24/01/2026,,,,,,,,,,,,,,,,,,,
,25/01/2026,,,,,,,,,,,,,,,,,,,
,26/01/2026,,,,,,,,,,,,,,,,,,,
,27/01/2026,,,,,,,,,,,,,,,,,,,
,28/01/2026,,,,,,,,,,,,,,,,,,,
,29/01/2026,,,,,,,,,,,,,,,,,,,
,30/01/2026,,,,,,,,,,,,,,,,,,,
,31/01/2026,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,TOTAL,$454.158,$1.676,,,,,"1,00",,,,,,31,,$21.550,"7,07",$4.009.980,$127.562,"57,69%"
